name,description,min_players,max_players,play_time_minutes,categories,complexity
Catan,Trade and build settlements on an island of hexagonal tiles. Collect resources and expand your territory.,3,4,90,"strategy,economic",medium
Ticket to Ride,Collect train cards to claim railway routes across a map. Connect cities and complete destination tickets.,2,5,60,"strategy,family",light
Codenames,Give one-word clues to help your team identify secret agents while avoiding the assassin.,4,8,15,"party,word",light
Pandemic,Work together as disease-fighting specialists to cure four deadly infections threatening the world.,2,4,45,"cooperative,strategy",medium
Azul,Draft colorful tiles to decorate a palace wall. Score points for patterns and complete sets.,2,4,45,"abstract,family",light
Wingspan,Attract birds to your wildlife preserves. Each bird has unique powers and scoring opportunities.,1,5,70,"strategy,family",medium
Splendor,Collect gems to purchase development cards and attract nobles. Build an economic engine to win.,2,4,30,"strategy,economic",light
7 Wonders,Lead one of the seven greatest cities of the ancient world. Draft cards to develop your civilization.,2,7,30,"strategy,family",medium
Carcassonne,Place tiles to build a medieval landscape of cities roads and fields. Deploy followers to score points.,2,5,35,"strategy,family",light
Terraforming Mars,Compete as corporations to make Mars habitable. Raise temperature oxygen and ocean levels.,1,5,120,"strategy,economic",heavy
Gloomhaven,Cooperative dungeon-crawling adventure with branching storylines and tactical combat.,1,4,120,"cooperative,adventure",heavy
Scythe,Alternate reality 1920s Europe. Build farms factories and mechs to dominate the land.,1,5,115,"strategy,economic",heavy
Dixit,Use imaginative storytelling with surreal illustrated cards. Guess which card matches the clue.,3,6,30,"party,family",light
King of Tokyo,Play as giant monsters battling for control of Tokyo. Roll dice to attack heal or gain energy.,2,6,30,"party,family",light
Root,Asymmetric woodland game where each faction plays by different rules. Fight for control of the forest.,2,4,90,"strategy,adventure",heavy
Spirit Island,Defend your island home from colonizing invaders using elemental spirits with unique powers.,1,4,120,"cooperative,strategy",heavy
Love Letter,Quick deduction card game of risk and bluffing in a royal court. Deliver your letter to the princess.,2,4,20,"party,family",light
Hanabi,Cooperative card game where you hold cards facing away and give clues about colors and numbers.,2,5,25,"cooperative,abstract",light
Dominion,Deck-building game where you start with a small deck and buy cards to build a powerful engine.,2,4,30,"strategy,economic",medium
Betrayal at House on the Hill,Explore a haunted mansion tile by tile until one player becomes a traitor.,3,6,60,"adventure,cooperative",medium
The Crew,Cooperative trick-taking card game where players must complete missions without talking.,2,5,20,"cooperative,abstract",light
Everdell,Build a city of critters and constructions in a whimsical woodland valley over four seasons.,1,4,80,"strategy,family",medium
Brass Birmingham,Build networks of canals and rails during the industrial revolution in Birmingham.,2,4,120,"strategy,economic",heavy
Wingspan Asia,Expansion-style standalone with new birds and powers for the Wingspan engine.,1,5,70,"strategy,family",medium
Qwirkle,Match colors and shapes in a grid without repeating attributes in any line. Simple rules deep strategy.,2,4,45,"abstract,family",light
Clank,Deck-building dungeon crawl where you sneak into a dragon's lair to steal an artifact.,2,4,60,"adventure,strategy",medium
